InputID,TargetID,Distance
 AFG, VAT,4678781.83195639
 AFG, HND,13895570.9359351
 AFG, HKG,4951044.04923857
 AFG, HUN,4078071.11332283
 AFG, ISL,6410452.80149809
 AFG, IND,1869224.32832974
 AFG, IDN,7158294.69653119
 AFG, IRN,1132534.93971654
 AFG, IRQ,1959229.51548549
 AFG, IRL,6058829.77150684
 AFG, IMN,5814299.21336275
 AFG, ISR,2735947.22956493
 AFG, ITA,4638329.9826197
 AFG, JAM,13080570.6765089
 AFG, JPN,6548899.72593849
 AFG, JEY,5716317.67788991
 AFG, JOR,2740623.75305721
 AFG, KAZ,1684626.92832329
 AFG, KEN,4530082.21706465
 AFG, KIR,11598573.4397655
 AFG, PRK,5497365.37119316
 AFG, KOR,5619612.14637222
 AFG, KOR,5619612.14637222
 AFG, KWT,1700211.97165224
 AFG, KGZ,1255517.146665
 AFG, LAO,4318604.90649736
 AFG, LVA,4033483.94442785
 AFG, LBN,2705323.60753403
 AFG, LSO,7916352.61007521
 AFG, LBR,8176933.23832553
 AFG, LBY,4719756.44013617
 AFG, LBY,4719756.44013617
 AFG, LIE,4872450.99672579
 AFG, LTU,4046867.25693768
 AFG, LUX,5112466.56260054
 AFG, MAC,4897324.21934172
 AFG, MKD,3887510.46525478
 AFG, MDG,6169720.80352236
 AFG, MWI,6110476.17359002
 AFG, MYS,5985987.55802135
 AFG, MDV,3397293.76509488
 AFG, MLI,7067267.83149008
 AFG, MLT,4594229.21901336
 AFG, MHL,10665358.6125446
 AFG, MTQ,12227668.115213
 AFG, MRT,7649078.81458035
 AFG, MUS,5949490.76364542
 AFG, MYT,5492779.72421368
 AFG, MEX,13656095.5089817
 AFG, FSM,9900374.89655565
 AFG, MDA,3404283.15686544
 AFG, MCO,5067602.51105332
 AFG, MNG,3683264.23798812
 AFG, MNE,4136167.00317429
 AFG, MSR,12158029.3267613
 AFG, MAR,6447999.97132242
 AFG, MOZ,6507702.82829717
 AFG, MMR,3463351.45058103
 AFG, MMR,3463351.45058103
 AFG, NAM,7939346.61792403
 AFG, NRU,11157405.6633356
 AFG, NPL,1903136.25788128
 AFG, NLD,5138693.34963292
 AFG, ANT,13005953.4993079
 AFG, NCL,12228344.4582435
 AFG, NZL,13813119.9460797
 AFG, NIC,14005911.9786769
 AFG, NER,6000278.54469031
 AFG, NGA,6344020.76144858
 AFG, NIU,14386363.691983
 AFG, NFK,12825603.4969668
 AFG, MNP,8257751.26152775
 AFG, NOR,5015296.50781271
 AFG, OMN,1547321.9745964
 AFG, PAK,579769.818451554
 AFG, PLW,7651384.28400659
 AFG, PSE,2788699.83930928
 AFG, PAN,14069155.2173818
 AFG, PNG,9631959.43921776
 AFG, PRY,14379649.9989218
 AFG, PER,15290501.6085706
 AFG, PHL,6167823.48280109
 AFG, PCN,18502028.8623963
 AFG, POL,4167067.6098268
 AFG, PRT,6420502.7449028
 AFG, PRI,12352809.0940334
 AFG, QAT,1571755.91376283
 AFG, REU,6069764.17914958
 AFG, ROU,3683264.23798812
 AFG, RUS,3197154.52441884
 AFG, RUS,3197154.52441884
 AFG, RWA,5341291.53490452
 AFG, SHN,9253185.40056377
 AFG, KNA,12153416.6083403
 AFG, LCA,12298054.6664722
 AFG, SPM,9398100.6288313
 AFG, VCT,12351658.2278245
 AFG, VCT,12351658.2278245
 AFG, VCT,12351658.2278245
 AFG, WSM,13861802.6550781
 AFG, SMR,4664903.05778367
 AFG, STP,7005617.91611427
 AFG, SAU,2136101.7309184
 AFG, SEN,8163150.12184631
 AFG, SRB,3975238.69965207
 AFG, SYC,4274674.05057502
 AFG, SLE,8245971.35325342
 AFG, SGP,5354727.69996515
 AFG, SVK,4137214.29391146
 AFG, SVN,4454737.62928416
 AFG, SLB,10865290.9065407
 AFG, SOM,3029612.41967379
 AFG, ZAF,8112153.91220294
 AFG, SGS,13663001.7247903
 AFG, ESP,6076579.70224198
 AFG, LKA,3319712.16102503
 AFG, SDN,4052492.97542649
 AFG, SUR,12592672.9655273
 AFG, SJM,5456277.42200123
 AFG, SWZ,7479368.02002464
 AFG, SWE,4763885.33235267
 AFG, CHE,4989578.46094313
 AFG, SYR,2496640.98471358
 AFG, TWN,5531763.86691929
 AFG, TWN,5531763.86691929
 AFG, TJK,857384.40932878
 AFG, TZA,5355429.48378326
 AFG, THA,4052492.97542649
 AFG, TLS,7878118.89634333
 AFG, TGO,7095142.85952043
 AFG, TKL,13622181.4180422
 AFG, TON,13955484.752646
 AFG, TTO,12506278.9218313
 AFG, TTO,12506278.9218313
 AFG, TUN,5137414.68595486
 AFG, TUR,2771968.94246447
 AFG, TKM,896296.197957028
 AFG, TCA,12400399.1078796
 AFG, TUV,12638291.8616065
 AFG, UGA,4944554.15801344
 AFG, UKR,3257048.9598709
 AFG, ARE,1466090.86120531
 AFG, GBR,5650442.48016459
 AFG, USA,11926930.0632781
 AFG, UMI,9891483.24682785
 AFG, URY,14589520.6498829
 AFG, UZB,892256.576388201
 AFG, VUT,12068728.5028162
 AFG, VEN,13132709.0938824
 AFG, VEN,13132709.0938824
 AFG, VNM,4524862.63512885
 AFG, VNM,4524862.63512885
 AFG, VGB,12189015.3983071
 AFG, VIR,12226575.7849763
 AFG, WLF,13486015.6164206
 AFG, ESH,7506410.18886592
 AFG, YEM,2631374.42791069
 AFG, ZMB,6485852.47782678
 AFG, ZWE,6946210.12919327
 ALB, AFG,4056240.98853462
 ALB, DZA,2118060.12813194
 ALB, ASM,16895965.9752739
 ALB, AND,1536386.36000686
 ALB, AGO,5924985.55417517
 ALB, AIA,8139782.04569005
 ALB, ATA,14542539.0205424
 ALB, ATG,8108770.00333072
 ALB, ARG,11943298.4175795
 ALB, ARM,2114862.88310296
 ALB, ABW,9107448.88612028
 ALB, AUS,13794978.6453473
 ALB, AUT,882202.126173113
 ALB, AZE,2313466.35037275
 ALB, BHS,8756793.60254752
 ALB, BHR,3264996.65249047
 ALB, BGD,6663410.95461228
 ALB, BRB,8188643.05970661
 ALB, BLR,1464076.52181603
 ALB, BEL,1647493.33304133
 ALB, BLZ,10259582.2336514
 ALB, BEN,3903469.33393677
 ALB, BMU,7337634.33676143
 ALB, BTN,6488185.60673857
 ALB, BOL,10824431.5822009
 ALB, BOL,10824431.5822009
 ALB, BIH,371562.430756961
 ALB, BWA,6986646.17732455
 ALB, BVT,10692724.9390877
 ALB, BRA,9501798.49770256
 ALB, IOT,7385086.73951915
 ALB, BRN,10076938.5549482
 ALB, BRN,10076938.5549482
 ALB, BGR,469943.241774852
 ALB, BFA,3769964.31545854
 ALB, BDI,5031509.11013423
 ALB, KHM,8658382.08392311
 ALB, CMR,3958085.10338274
 ALB, CAN,7345893.21070235
 ALB, CPV,5045091.21864372
 ALB, CYM,9452622.26720714
 ALB, CAF,3767823.76897483
 ALB, TCD,2883208.26014902
 ALB, CHL,12202580.6206172
 ALB, CHN,7191134.1607063
 ALB, CXR,10409399.8000213
 ALB, CCK,9836462.3389874
 ALB, COL,9889932.04920088
 ALB, COM,6393371.71326458
 ALB, COG,4678620.69307097
 ALB, COD,4568593.84389254
 ALB, COK,17812157.4377407
 ALB, CRI,10439223.1988607
 ALB, CIV,4413100.92286228
 ALB, CIV,4413100.92286228
 ALB, HRV,590172.323269921
 ALB, CUB,9266468.44792127
 ALB, CYP,1032890.45838856
 ALB, CZE,1033885.82386276
 ALB, DNK,1819996.92004891
 ALB, DJI,3968158.10094791
 ALB, DMA,8182754.62335385
 ALB, DOM,8703581.56959155
 ALB, ECU,10787042.2004327
 ALB, EGY,1803985.0003161
 ALB, SLV,10536361.6619153
 ALB, GNQ,4434972.80803523
 ALB, ERI,3417172.02338018
 ALB, EST,2045791.74926277
 ALB, ETH,4066667.3740913
 ALB, FLK,12789348.9114105
 ALB, FRO,2950690.91967916
 ALB, FJI,16522775.5027077
 ALB, FIN,2588837.71904511
 ALB, FRA,1553903.05377976
 ALB, GUF,8295338.99216969
 ALB, PYF,16541709.1601621
 ALB, ATF,10430581.523011
 ALB, GAB,4725556.96356191
 ALB, GMB,4676635.62666283
 ALB, GEO,1959136.25853783
 ALB, DEU,1397345.48364491
 ALB, GHA,4254462.44672486
 ALB, GIB,2265009.4857855
 ALB, GRC,280129.907510163
 ALB, GRL,4705229.52780536
 ALB, GRD,8441474.07021825
 ALB, GLP,8145917.38567466
 ALB, GUM,11737967.0810751
 ALB, GTM,10509627.1357443
 ALB, GGY,1996257.70433962
 ALB, GIN,4435228.41602596
 ALB, GNB,4686273.59118754
 ALB, GUY,8724880.51893393
 ALB, HTI,8845388.04685839
 ALB, HMD,11580364.6371683
 ALB, VAT,638530.982759368
 ALB, HND,10259078.3194176
 ALB, HKG,8754963.82334566
 ALB, HUN,666673.717726074
 ALB, ISL,3590257.20838454
 ALB, IND,5829535.09984068
 ALB, IDN,11214160.8683474
 ALB, IRN,3098971.47478494
 ALB, IRQ,2303784.42642707
 ALB, IRL,2488425.94253019
 ALB, IMN,2339158.76200206
 ALB, ISR,2118060.12813194
 ALB, ITA,628198.957079435
 ALB, JAM,9307281.41706512
 ALB, JPN,9397709.25960066
 ALB, JEY,1956028.08790893
 ALB, JOR,1814930.18889266
 ALB, KAZ,3831248.81910826
 ALB, KEN,4786912.31900638
 ALB, KIR,14576552.2204557
 ALB, PRK,8400926.28365831
 ALB, KOR,8656834.97568865
 ALB, KOR,8656834.97568865
 ALB, KWT,2815414.74363642
 ALB, KGZ,4547205.65398994
 ALB, LAO,8308772.05472155
 ALB, LVA,1815352.26216561
 ALB, LBN,1607948.10247582
 ALB, LSO,7854319.51469163
 ALB, LBR,4814291.45696724
 ALB, LBY,1796204.80856637
 ALB, LBY,1796204.80856637
 ALB, LIE,1081084.84745022
 ALB, LTU,1693258.72824627
 ALB, LUX,1451755.96796145
 ALB, MAC,8711957.49711949
 ALB, MKD,191102.5170214
 ALB, MDG,7307335.31562899
 ALB, MWI,6203831.56137582
 ALB, MYS,10040634.1603957
 ALB, MDV,6736770.22895936
 ALB, MLI,3517284.63440597
 ALB, MLT,743111.144522495
 ALB, MHL,13577011.4938211
 ALB, MTQ,8206989.09915771
 ALB, MRT,3817699.37214743
 ALB, MUS,7815879.74186284
 ALB, MYT,6498974.24591913
 ALB, MEX,10740300.3832788
 ALB, FSM,13210249.2784326
 ALB, MDA,981427.391570758
 ALB, MCO,1080157.42841696
 ALB, MNG,6558715.08839333
 ALB, MNE,138946.247490723
 ALB, MSR,8162789.40218031
 ALB, MAR,2440949.28441673
 ALB, MOZ,6740095.4663756
 ALB, MMR,7458569.25607103
 ALB, MMR,7458569.25607103
 ALB, NAM,6981279.72422029
 ALB, NRU,14429045.7029906
 ALB, NPL,5918160.42635327
 ALB, NLD,1673056.02107271
 ALB, ANT,9024220.39715221
 ALB, NCL,16126184.7457071
 ALB, NZL,17843335.8812437
 ALB, NIC,10293085.2841388
 ALB, NER,3002582.63291438
 ALB, NGA,3631983.93393009
 ALB, NIU,17396821.3811166
 ALB, NFK,16833293.5230913
 ALB, MNP,11656819.8833757
 ALB, NOR,2430780.6754008
 ALB, OMN,4125315.40000322
 ALB, PAK,4631237.93003887
 ALB, PLW,11463140.3599563
 ALB, PSE,1688204.37260432
 ALB, PAN,10188893.4934387
 ALB, PNG,13500775.2435169
 ALB, PRY,10710028.7630379
 ALB, PER,11235818.2254631
 ALB, PHL,10054046.4375586
 ALB, PCN,16504555.4930187
 ALB, POL,1222770.25878064
 ALB, PRT,2377886.86206646
 ALB, PRI,8415171.45285195
 ALB, QAT,3354441.30878527
 ALB, REU,7797828.75057302
 ALB, ROU,686794.071447918
 ALB, RUS,2951240.95689891
 ALB, RUS,2951240.95689891
 ALB, RWA,4868584.55084823
 ALB, SHN,6838459.70010046
 ALB, KNA,8168303.62327536
 ALB, LCA,8272787.18555919
 ALB, SPM,5919644.60272852
 ALB, VCT,8322691.74230156
 ALB, VCT,8322691.74230156
 ALB, VCT,8322691.74230156
 ALB, WSM,16740945.8765963
 ALB, SMR,695645.153558453
 ALB, STP,4619721.43206325
 ALB, SAU,2915551.16609653
 ALB, SEN,4447809.93840566
 ALB, SRB,343228.941192952
 ALB, SYC,6216246.51987455
 ALB, SLE,4755731.73355281
 ALB, SGP,9391130.63990811
 ALB, SVK,852900.670521438
 ALB, SVN,686794.071447918
 ALB, SLB,14567494.9691185
 ALB, SOM,4461920.40174435
 ALB, ZAF,7760821.23349068
 ALB, SGS,11889446.1396076
 ALB, ESP,2031049.71079898
 ALB, LKA,7083872.99199464
 ALB, SDN,3039653.71976856
 ALB, SUR,8545792.64256503
 ALB, SJM,4121261.02832335
 ALB, SWZ,7566710.45666829
 ALB, SWE,2360346.39771921
 ALB, CHE,1168739.70413151
 ALB, SYR,1711352.74781784
 ALB, TWN,9196474.11512098
 ALB, TWN,9196474.11512098
 ALB, TJK,4298122.9641836
 ALB, TZA,5424915.35151962
 ALB, THA,8100068.72522375
 ALB, TLS,11932708.3053854
 ALB, TGO,4103382.52710704
 ALB, TKL,16268634.7288474
 ALB, TON,17282206.765767
 ALB, TTO,8464288.50771197
 ALB, TTO,8464288.50771197
 ALB, TUN,1243123.61353267
 ALB, TUR,1298320.6331922
 ALB, TKM,3362603.36899248
 ALB, TCA,8584406.04148331
 ALB, TUV,15756304.5267464
 ALB, UGA,4592165.54075603
 ALB, UKR,1295441.6111105
 ALB, ARE,3675258.41565265
 ALB, GBR,2182665.28302438
 ALB, USA,9173734.77320718
 ALB, UMI,12496461.3598177
 ALB, URY,11300325.3696802
 ALB, UZB,3661576.19000346
 ALB, VUT,15806863.1300303
 ALB, VEN,9097957.79031852
 ALB, VEN,9097957.79031852
 ALB, VNM,8530767.35290364
 ALB, VNM,8530767.35290364
 ALB, VGB,8232918.96637002
 ALB, VIR,8271955.89107206
 ALB, WLF,16558559.5126562
 ALB, ESH,3561513.09792209
 ALB, YEM,3951079.19838615
 ALB, ZMB,6284914.61870183
 ALB, ZWE,6831732.34938181
 DZA, AFG,5892551.81578583
 DZA, ALB,2118060.12813194
 DZA, ASM,18331507.7421755
 DZA, AND,1613704.50087594
 DZA, AGO,4782436.58008344
 DZA, AIA,6785368.54438176
 DZA, ATA,13100407.4767003
 DZA, ATG,6702747.4847992
 DZA, ARG,9842715.8152856
 DZA, ARM,4059371.55092477
 DZA, ABW,7710876.82242562
 DZA, AUS,15122944.8231652
 DZA, AUT,2326561.40725703
 DZA, AZE,4276303.29808974
 DZA, BHS,7767206.85341568
 DZA, BHR,4694894.60094692
 DZA, BGD,8522915.99305539
 DZA, BRB,6653926.1981389
 DZA, BLR,3455088.84206155
 DZA, BEL,2536502.167751
 DZA, BLZ,9296974.63987797
 DZA, BEN,2049398.64741803
 DZA, BMU,6434134.38204641
 DZA, BTN,8406807.21718223
 DZA, BOL,8854454.41246935
 DZA, BOL,8854454.41246935
 DZA, BIH,2224093.5657248
 DZA, BWA,5975232.64240245
 DZA, BVT,9132668.97870015
